Stop: 2016年 2月14日 星期日 02时47分56秒 CST
Stop: 2016年 8月 2日 星期二 09时40分12秒 CST
Start: 2016年 8月 2日 星期二 09时40分12秒 CST
Stop: 2016年 8月 2日 星期二 09时43分35秒 CST
Start: 2016年 8月 2日 星期二 09时43分35秒 CST
Stop: 2016年 8月 2日 星期二 10时10分45秒 CST
Start: 2016年 8月 2日 星期二 10时10分45秒 CST
Stop: 2016年 8月 3日 星期三 14时40分39秒 CST
Start: 2016年 8月 3日 星期三 14时40分39秒 CST
Stop: 2016年 8月 3日 星期三 16时36分56秒 CST
Start: 2016年 8月 3日 星期三 16时36分56秒 CST
Stop: 2016年 8月 3日 星期三 16时37分26秒 CST
Start: 2016年 8月 3日 星期三 16时37分26秒 CST
Stop: 2016年 8月 3日 星期三 16时38分29秒 CST
Start: 2016年 8月 3日 星期三 16时38分29秒 CST
